nama,review,bintang
wulan amalia,Kampusnya bersih dan rapi. Cuma susah dicari karena masuk ke jalan kecil,4
Riwandy Riwandy,"Pasilitas yang bagus dan pendidikan teknologi yang menjamin masa depan anak""bangsa",4
Upload Gaje,"kampusny keren, fasilitas jos, dan bentar lg ada gorny",4
arli harianja,Adakah asrama buat mahasiswa/i baru disini?,5
asngari firdaus,"Letaknya strategis , mudah diakses , mudah mudahan anak saya betah",5
so biin,Tempatnya ok stafnya ramah ramah kalo mau daftar disini juga dilayani dengan baik,5
Ahmad Shofa,"Kampus Telkom yang keren dengan biaya terjangkau. Proses daftar mudah, beasiswa juga berlimpah",5
Denny Purnomo,Tempat kuliah yang keren dan recomended. Dosen2nya juga ramah2.,5
Maftuh Irfan,Kampusku kampusmu 😂,5
Ilham Nur,"good lah , mantap",4
washudi 70,"Tempatnya masih baru,rapi dan bersih..",4
Edy Sriprihanto,"Pusat kawasan pendidikan terpadu telkom, teknologi telekomunikasi dan system informasi terbesar di purwokerto",4
KINHATHAN - Education Channel,"Assalamu'alaikum, saya mau tanya, di purwokerto yang jual spare part robotika dimana ya?",4
Hanif Setyo,Tempatnya asik. Saya biasanya mau  ke sekre wapala,4
Prengil Ulus,Mantap kuliah disini terjamin masa depannya...Amin,4
laurier sanchez,Salah satu rekomendasi terpercaya untuk para mahasiswa dan mahasiswi hanya di Winbet299.,4
Raja Phone,"Sangat bagus,lulusan nya sangat berkwalitas",4
Dadiek Pranindito,Tempat belajar yg berkualitas dan keren,5
Rey B,"Pohonnya sedikit panas banget, Internet di kampus mohon dibanyakin bandwidthnya",5
yanyan ramdhani,"Bagus sekali, suasananya nyaman",4
Sudarso Darso,Bagus sekali,4
Zakin,Akan terus dikembangkan hingga berstatus Universitas.,5
Ananda Rosalina,Kisah yg menarik berada di kawasan pendidikan telkom ini,5
Isnaini Nuri,Kampus teknologi dengan dosen yg menyenangkan,5
Berjalan,Gacor buat ojek online gaessss,5
luna benquero,"kawasan pendidikan SMP, SMK, ITT",5
