nama,review,bintang
Danyputra Dany,"Beda dengan kampus lain, keren. Banyak pengembangan softskill atau hardskill disini.",5
Mukhammad Yunus,,5
Sherpa Camp,kampus luas.. megah,5
Deny Prasetyo,,5
Carina Jihadda,"Kampus baru di Gresik, swasta tapi bagus. Pengajarannya berkualitas, seperti PTN bahkan.",5
Miftakhur Rohman,,5
Nuhan Herling,Kampus yang berbasis korporasi. Salah satu Universitas terbaik yang ada di Gresik.,5
Laptop Gresik,,5
Prasetyo Teguh Wahyudi,Fasilitas lengkap,5
Aurel Maulida9oi,,5
Ahmad Taufiq,Kampus serasa Pubg 😂Kampus pubg check,5
Khasan Nadhif,,5
ridwan yahya m,bismillah dan alhamdulillah bisa kuliah disini... :D #ProudToBeSTiMSI,5
afiful mahmudah,,5
Putera Sadiq Rahman,Kampus baru namun melejit prestasinya.,5
fatimatus zahra,,5
Zuhal Syam,Beruntung yang bisa kuliah di sini. Masa depan cerah menanti.,4
帝克諾,,4
Yoga Dharmawan,UISI  perfect...,5
Ikrar Nusa Bakti,,5
Sultania Faris,Universitas terbaik di kota gresik,5
Diyanto Alie,,5
Ahmad Hudaifah,"Kampus the best, pilihan dan internasional .",5
nanana lalaladududu,,5
teddy fauzi,sangat puas,5
Zain Afif,,5
Woodsett Indonesia,"Tempatnya adem, asri, sejuk.",5
Ainun N Rahayu,,5
Achmad Choiri,Arsitektur bangunan kampus bagus banget,4
Ahmad Asrofi,,4
Andi Zulfikar D,Bangga jadi bagian kampus ini 👍 keep crafting the excellent,5
muhammad wildan,,5
Kristina Endang,Kampus Heritages pertama di Indonesia...,5
Naufal Maulana,,5
Paskalina Duwit,kampus internasional terbaik di indonesia,5
SMART,,5
Harum Amaliah,Sangat menarik,5
Amir Coyrul Sabri,,5
savedyan malesi,Fasilitas terbaikk,5
Fadhil Irvansyah,,5
Abi 'AzKai,Cari ilmu coz bisa kerjaa,4
arif pramudya,,4
Dinda AR,Semakin kokoh tak tertandingi,5
Reno Herdhiansyah,,5
Agnesya Trisna,Kampus dengan sistem manajemen modern.,5
yonky listyantoro,universitas nya bagus,5
Adi Sepriyanto,Universitas yang sangat bagus,5
Billy Maulana,Sangat bagus,5
ARYO SYUJA,Sekarang memiliki kampus,4
sari setyaningsih,,4
