nama,review,bintang
Mawanda Almuhayar,"Perguruan tinggi baru berbasis ICT terbaik di Surabaya. Perguruan tinggi ini merupakan perguruan tinggi swasta yang terafiliasi dengan Telkom Indonesia melalui Yayasan Pendidikan Telkom. Kampusnya yang terletak di lokasi yang strategis, di tengah Kota Surabaya, membuat perguruan tinggi ini mudah diakses dan dijangkau dari mana saja di Surabaya. Tempat populer terdekat adalah Royal Plaza Mall, Stasiun Wonokromo, Taman Bungkul, dll.Perguruan tinggi baru berbasis ICT terbaik di Surabaya. Perguruan tinggi ini merupakan perguruan tinggi swasta yang terafiliasi dengan Telkom Indonesia melalui Yayasan Pendidikan Telkom. Kampusnya yang terletak di lokasi yang strategis, di …Lengkapnya",4
Kevin Licious,"The best new ICT-based college in Surabaya. This college is a private college affiliated with Telkom Indonesia through Telkom Education Foundation. Its campus is located in a strategic location, in the middle of Surabaya City, make this college is easy to access and reach from anywhere in Surabaya. The popular places nearby are Royal Plaza Mall, Wonokromo Station, Bungkul Park, etc.The best new ICT-based college in Surabaya. This college is a private college affiliated with Telkom Indonesia through Telkom Education Foundation. Its campus is located in a strategic location, in the middle of Surabaya City, make this …Lengkapnya",5
ModifieSby Medsos,"Tempat bagus tapi petugas keamanannya burukAku kehilangan kunciku dan bertanya kepada mereka tapi bukannya membantu mereka malah menunjuk ke arahku dengan nada tinggi selama 10 menit, pada akhirnya dia berkata dengan arogan untuk memeriksa pos keamanan lainnya.Apakah semua pekerjanya bertindak seperti ini??Tempat bagus tapi petugas keamanannya buruk
Aku kehilangan kunciku dan bertanya kepada mereka tapi bukannya membantu mereka malah menunjuk ke arahku dengan nada tinggi selama 10 menit, pada akhirnya dia …Lengkapnya",5
Carlita 69,"Good place but the security worker is badI lost my key and ask to them but instead of helping they just pointing at me with high tone for whole 10 min, in the end the one said arrogantly to check other security post.Does all their worker act like this??Good place but the security worker is badI lost my key and ask to them but instead of helping they just pointing at me with high tone for whole 10 min, in the end the one said arrogantly to check other …Lengkapnya",5
Oktavia Ayu Permata,🔥,5
Philip Daely,Kampus Jo keren,5
Mang Udin,Keren Jo kampuse,5
Hendra Dirga,"Kampus berbasis ICT yang sangat direkomendasikan. Datang dan bergabunglah untuk merasakan keunggulan teknologi industri maritim, transportasi, dan logistik",5
Agung Hartadi,"Very recommended ICT based campus. Come and join to experience the excellences of maritime, transportation, and logistics industrial technology",5
Yanuar Firdaus,"Kampus baru berbasis ICT di Surabaya. Ini menyediakan berbagai program studi teknik dengan spesialisasi di bidang industri maritim, transportasi, dan logistik.",5
asep wahyu,"New ICT based campus in Surabaya. It provides various engineering study programs with specialization in maritime, transportation, and logistics industry.",5
Iqbal Yudha,gacorrr,5
pustakasemesta pustaka,Bagus,5
Bani Wangsal,nice,5
mh arief,Sekolah berbasis ICT yang unggul untuk pendidikan tinggi.,5
Ardi Dwi Saputra,Excellent ICT based school for higher education.,5
Adhiaksa Bima Ramadhani,Menyatukan Kembali Benang Merah. Majukan bangsaku.,5
Dimas iqbal,Menyatukan kembali Benang Merah. Maju bangsaku.,4
Rian Gunawan,ITTS sangat bagus,4
Ahmad Yuridan,Mantap betul ITTS,4
bram Exote,bagus sekali,4
Rizky Ikbal,excellent,5
Narendroduto Rokhyadi,Sekolah yang bagus,5
Harsono Moeidjan,Good school,5
M Fahmi,rembesnya bagus,5
Gamma Muliawan,seep apik,5
Adinda Fathin Nadhiroh,Tidak buruk,5
Catur yuniati,Not bad,5
Fiona Pradiansyah,Selamat Telkom University Surabaya,5
35_ Vernando wose,Congrats Telkom University Surabaya,5
rizki septiani elvandury,ITU JOSSSS!!!,5
INAWATI OCTALIA,ITTS JOSSSS!!!,5
risty y,hehe,5
Rebecca Tulle,Hehe,5
Qurfi Dela,Tempat yang bagus!!!,5
nadia dinda,Good place!!!,5
Aisya Fathma Aulia,Warbyasah...!!!,5
Nabila Desfitriani,Ittelkom assiiaapp,5
YunHan 19,,5
faiza putri,,5
aditia ariqriskullah,,5
Wibi sono,,5
Bertrand Lianto,,5
Mokhammad Bahauddin,,5
Sokhib Sokhib,,5
PURWOKO BE,,5
Alfan Syahputra,,5
Neo Gent,,5
Rio Firman,,5
Melisa Bakara,,5
anam ipung,,5
HENDRA VENLO,,5
Paulus Adrianus Adu,,5
Abiyyu Admaja,,5
Nadira Khairunnisa,,5
andik siswoyo,,1
Hesty repelita Nainggolan,,1
Dany Ok,,5
Pedro,,5
bias arsitek design,,5
Mardhiyah Fida,,5
irulmanyar Sambongan 92,,5
Haris Setiawan,,5
rifqi arif,,5
Amos Joseph,,5
Geril Olha,,5
Zapa 98989,,5
Edy Supri,,5
Mchhavid Darmawan,,5
I Gede Fender Adrea Veda,,4
I Gede Davin Pramana Kusmawan,,4
aldino,,4
Nayla Ramadhani Kiah,,4
DonnLeo Mirra789,,5
Senna Abira,,5
Ersa Nur Amalia,,5
Faruq Heldian,,5
Yesika Purba,,5
Aditia Ariq Riskullah,,5
Ahmad Daffa Atha Hidayat,,5
Bagus L Saputra,,5
rehanelee 16,,1
Neo Z.,,1
Ahmad Difa,,5
Adiyan Jatmiko,,5
Rachel,,5
arni muarifah,,5
Candra Ayu,,5
Kain Kafan,,5
Ika Syam,,5
UserGhost411,,5
Panji Purnama,,5
Rey Dylanza,,5
Yoga Wilanda,,5
Aldi Ramadhani,,5
Luthfi Rahman,,5
Arvega Andika Putra,,5
DIYANTORO DIYANTORO,,5
Evalia Nuryana,,5
Your Mark,,5
Olfatghani Kartiko,,5
Nava Meisyah P.A,,5
Nada Ashabul,,5
Davin Saddam Setyawan,,5
Anastasia Wiraa,,5
fuad dimyati,,5
Naufal Hafizh Putra A.,,5
Alip Kulip,,5
Andro widi,,5
Busye,,4
khutma wati,,4
Waishabilla R.f,,5
Fachmi Fahrezi,,5
sulis tiani,,5
Achmad Subayu,,5
Jiamik A,,5
Gilang,,5
Darma Aji Sekar,,5
Ramsa Wika,,5
Sapruarua Rua,,5
Jufri Yadi,,5
Nurul Adhiyah,,5
Intan Anggreita,,5
NisyaSeptikP SH,,5
Hawwin Mardhiana,,5
Evyra. R,,5
Hari Fitrianto Pribadi,,5
Indah Pasutri,,5
Walid Maulana H,,5
Rifqy Attaufi,,5
Jiha -Kun,,5
rika nurnailli,,5
Marlin Linggarwati,,5
Tony Aldrige,,5
Azura,,5
Marjoko Marjoko,,5
Sedaap Candra,,5
Arya Anwar,,5
Haniyah Alka,,5
yoga PH,,5
Wildan Arief,,5
Farras Hanun Azizah,,5
Puji Rahayu,,5
Rizal Reynaldi,,5
Nabiel Setiawan,,5
Alya Irsyadah Fadlila,,5
077_ M. alfreda yoga N,,5
Ardi Dwi Saputra,,5
oezi al-aziz,,5
Hernadimas A,,5
Belinda Agni helena,,5
Rohman Yulianto,,5
Charisma Ilham,,5
Teguh Purwanto,,5
Dewa Gede,,5
Alifiansyah,,5
Zea Vezka Naura,,5
Yuni Qoriah Verdiana,,5
Via Rahma,,5
Teo Macho,,5
Visual Thinker,,5
Dodik Wahyono,,5
Shafira Amallia,,5
Yosefan Alfeus,,5
Rafi Irzam,,5
Paramaditya Arismawati,,5
si itts,,5
,,5
,,4
,,2
,,3
,,1
Adi Prasetyo,,5
Dwi Yuan,"Salah satu kampus it telkom di daerah strategis Surabaya, tepatnya di daerah Ketintang. Program studi disini juga lumayan lengkap. Fasilitas cukup memadai dan baik. Halamannya cukup luas dan bersih. Sangat recommended untuk belajar disini.",5
mutmainnah salaminna,,5
A.R. Bagas Danang Haditio,Penggemar bakso hayo coba rasa bakso saya di Ketintang depan telkom,5
Intan Nurmala,,5
VividMUA,Murid saya ada yg kuliah disini... Baru aja lulus Oktober 2024 Alhamdulillah semoga segera bisa mengabdi di masyarakat,5
Rosyid Abdillah,,5
Nika Yustina,"Kangen suasana shalt ied di lapangan Telkom tdk di dalam masjid Telkom ketintang, karena sunahnya shalat di lapangan agar takbir terdengar dgn lantang",1
Fatmarita Sutrisno,,1
Titin Widowati,"semuanya sempurna, tidak ada yang kurang dari pelayanan nya. semoga saya bisa bergabung di UTS",5
firman,,5
Herman ahmad,"Kampusnya adem, Semoga Telkom University meningkatkan kualitasnya, Semua Jurusan Terakreditasi Unggul Semuanya, btw bangunan bekas ATM itu bisa di bongkar supaya kelihatan wajah Keren Kampus Telkom University 🥰",5
Mochamad Erwin Syahbani,,5
Nizar Cheetah,"salah satu opsi terbaik untuk studi lanjut dibidang IT. Karena dibawa naungan BUMN terbaik negeri, kedepan tentu akan jadi salah satu perguruan tinggi ternama di Jatim dan Indoensia",5
Imtiaz Sajid Baig,,5
Darwis Suryantoro,Mau nyari kos buat anak yg akan kuliah disana..minta recomend kosan cowok yg bagus..yg dekat kampus.,5
Febryanto Kohar,,5
zulvia Rachmawati,"Pelayanan sangat baik, cepat respon",5
Ipoeng Anam,,5
Arda Erico Yuda,Berkunjung ke sini pengen jalan jalan aja lihat kampus. Securitynya raaamaaah...,5
Widi Atmoko,,5
Anggun Novita,"Kampusnya bersih dekat dari mana mana, dan ada wifi cornernya.",5
Haneef Nouval,,5
aji waluyo,Pelayanan admin sangat ramah dan responsif 👍👍👍,5
Darmanto,,5
Nur Faizah,Terima kasih atas keramahannya. Sukses slalu  buat Universitas Telkom Surabaya,5
Phie,,5
Sat Zam,"Suka bangeeett sih kalo ke sini, udaranya segar bangeeett 💙",5
Daffa Afrizal,,5
