nama,review,bintang
nurmiati pasra,"Dosen2 yang berkualitas, Fasilitas Laboratorium Lengkap, Kampus yang makin kondusif....",1
fahri rizal,Akses cepat dan terjangkau karna lebih dekat akses jalan tol dan transport umun yg memadai,1
arifmaulana rezapangestu,assalamualaikum selamat siang bapak/ibu apakah disini menerima pkl jurusan listrik,5
Andinikma srihandayaniM,"Sederhana, bukan tanpa kekurangan, tapi merasa bangga menggunakan almamater di kampus ini.",5
Oky Mahmuri,"Lulusan dari sini gak ada Kualitasnya, apalagi attitudenya",5
Adi Candra,👍,5
Yan Adeline,Itu student worker kalian sombong banget sok cantik,5
ujang bedhul,Sempat kelewatan krn gak ada papan petunjuk lokasi.,5
Chelynna Navysealta,KOLOT,5
Elisa Rosita Dewi,"kampus yg luar biasa , dari sabang sampai marauke ada disini",5
Muhammad Rafly Syahputra,"proses sertifikasi rumit, tidak responsif, berbelit belit, tidak bertanggung jawab. terutama dari pihak ITCC",5
Tristan Tata,Keren,5
chandra triatmaja,Sdh tambah bagus kampus dan taman ny..parkiran pun luas,5
Hanasbey Rosa,Semoga di terima dan lulus saat ujian disiniSTT PLN  terbaik  jaman now 😊😉,5
Ganis K,Karena d sinilah smua awal perjuangan ku mengabdi kepada negara ini d mulai,5
Eka Yuda.k,Sttpln duri kosambi,5
Bang Jo,Sekolah yang membuat Lulusan Sarjana Berkompetensi di dunia kerja seperti Militan,5
David Pan (dave),Sekolah tinggi teknik PLN yng bernaung di bawah yayasan pendisikan & kesejahteraan PT. PLN,5
Adin Insya,Tempatnya dimana anak teknik berprestasi berada dikemudian hari insya Allah.,5
Awal Awal,Tempat Kader baru sarjana kelistrikan,5
Puja Trisdayanti,Boleh info koskosan sekitaran kampus dong,5
Supriyatno Ompi,Alhamdulillah anak saya yang nomer 1 sudah lulus dari sini,5
Edy Doger,Kampus yg mantab selain itu memang tempat kerja aqu,5
vhiendy savella,Dosen PAnya keceeee cc : pak Rakhmadi 👌🏻👌🏻😍,5
Maria Susanti,Harapan anakku memulai menuntut ilmu..sukses sllu,5
Fajar Riyanto,tempat yg mengajarkan ku tentang listrik di tempat ini lah aku belajar,5
Fredella Gea,😎😎,5
Anugrah Syarif,Bagus,5
Mohammad Zhafran Nabil,Ingat pintu masuk sebelum pombensin sebelah toko Ban,5
Dimas T.A,banyak orang dari berbagai suku dan latar belakang yang berkuliah di sini,5
Janter Sitorus,Tempat nya strategis mudah dijangkau,4
Sangaji ardiyan putra,Sekedar singgah ke lantai 8.See you HIMAPRODIT 2010.,4
Choiro zak,Tempat kuliah berbasis teknologi yg cukup mumpuni,5
MOSIP SONI,🤗🤗🤗,5
Syukri Driver,𝚂𝚞𝚍𝚊𝚑 𝙰𝚔𝚝𝚒𝚟𝚒𝚝𝚊𝚜 𝚗𝚘𝚛𝚖𝚊𝚕 𝚔𝚎𝚖𝚋𝚊𝚕𝚒,5
Budi Herlambang,Keren kampusnya..adem ada danaunya,5
Zevril Petri Appang,Banyak alumninya ikut test pln lagi,1
danur qahari,"Saat ini sedang renovasi, dan masih berlangsung proses renovasi",1
Tony Koerniawan,Tempat perkuliahan tentang ketenaglistrikan yang lengkap fasilitasnya.,4
hassim frusst,Sangat bagus sekali,4
yusuf ekoar,Kampusnya calon pimpinan PLN masadepan.,5
Wangsarajasa Investasi Super,Karena kakak saya ada di sekolah STT Jakarta Barat,5
firman ayuda,mohon info kos2an dekat dengan kampus sttpln...,4
Nur Ramadhan,"Bagus tempatnya, nyaman ,",4
Dedi Doang,semakin top,5
Channel YouTube LAMBE MUNCIS,"Kampus yang bagus,lokasinya juga sangat strategis",5
Anas Ibrahim kiansantang,kita kasih bintang 5 dair singawinata.com,4
wi rudy,Tempat mengadakan perpisahan sma disini.,4
Agus Supriyono,Tempat kost atau kontrakan yang dekat kampus ada ya,5
Nur Syamsudin,Indah rapih bersih,5
